swapSweep(cgg "ID") (L=1.2e-05) X,swapSweep(cgg "ID") (L=1.2e-05) Y
1e-09,4.545209040391328e-13
1.8e-09,4.615038417247118e-13
3.200000000000001e-09,4.719067095826262e-13
5.6e-09,4.860031492658268e-13
1e-08,5.072564268468509e-13
1.8e-08,5.34258877729488e-13
3.2e-08,5.700957816650715e-13
5.600000000000001e-08,6.1500544374015e-13
1e-07,6.696935125597278e-13
1.8e-07,7.369856725735363e-13
3.2e-07,8.097732375708143e-13
5.6e-07,8.863201156196271e-13
1e-06,9.654211308114406e-13
1.8e-06,1.036988951426651e-12
3.2e-06,1.092100349390778e-12
5.6e-06,1.130120520431756e-12
9.999999999999999e-06,1.156361965410801e-12
1.8e-05,1.174479022737708e-12
3.2e-05,1.187611178123293e-12
5.6e-05,1.19813486967363e-12
9.999999999999999e-05,1.207461306412802e-12
0.00018,1.215486245459707e-12
0.00032,1.221923663898778e-12
0.00056,1.226723560937389e-12
0.001,1.229842584150598e-12
