swapSweep(cgg "ID") (L=3.5e-07) X,swapSweep(cgg "ID") (L=3.5e-07) Y
1e-09,6.439739324709656e-16
1.8e-09,6.4402508525951e-16
3.200000000000001e-09,6.447356813655167e-16
5.6e-09,6.463051958804799e-16
1e-08,6.49232949577113e-16
1.8e-08,6.54160197274132e-16
3.2e-08,6.617395842409732e-16
5.600000000000001e-08,6.729360363208357e-16
1e-07,6.901800550122099e-16
1.8e-07,7.159433859656742e-16
3.2e-07,7.520709239673393e-16
5.6e-07,8.003657643108084e-16
1e-06,8.657811259301181e-16
1.8e-06,9.443029955487222e-16
3.2e-06,1.023157715537757e-15
5.6e-06,1.088655579222404e-15
9.999999999999999e-06,1.137533693094007e-15
1.8e-05,1.169004779789631e-15
3.2e-05,1.18811825078552e-15
5.6e-05,1.200946074492061e-15
9.999999999999999e-05,1.211549219708078e-15
0.00018,1.220562286330305e-15
0.00032,1.227475180221217e-15
0.00056,1.231509998265452e-15
0.001,1.231504757294628e-15
