swapSweep(cgg "ID") (L=5e-07) X,swapSweep(cgg "ID") (L=5e-07) Y
1e-09,1.134841989878408e-15
1.8e-09,1.139015391427188e-15
3.200000000000001e-09,1.14624413244617e-15
5.6e-09,1.157408686273279e-15
1e-08,1.174818874916964e-15
1.8e-08,1.200772721185308e-15
3.2e-08,1.23684314402104e-15
5.600000000000001e-08,1.285029311103805e-15
1e-07,1.351729321345966e-15
1.8e-07,1.439171363387226e-15
3.2e-07,1.546035461431279e-15
5.6e-07,1.669456953148593e-15
1e-06,1.813974436456639e-15
1.8e-06,1.967042675211704e-15
3.2e-06,2.106144533179538e-15
5.6e-06,2.214976807108049e-15
9.999999999999999e-06,2.294045733604567e-15
1.8e-05,2.345277428755621e-15
3.2e-05,2.377877993671428e-15
5.6e-05,2.401201001562506e-15
9.999999999999999e-05,2.421134708000712e-15
0.00018,2.438204489599125e-15
0.00032,2.451510174694155e-15
0.00056,2.459976956579416e-15
0.001,2.461478802365192e-15
