swapSweep(cgg "ID") (L=8e-06) X,swapSweep(cgg "ID") (L=8e-06) Y
1e-09,2.047982685137735e-13
1.8e-09,2.080099690179173e-13
3.200000000000001e-09,2.126654062519663e-13
5.6e-09,2.19093191336557e-13
1e-08,2.282821774991181e-13
1.8e-08,2.408673388889336e-13
3.2e-08,2.570668535938848e-13
5.600000000000001e-08,2.768264867271721e-13
1e-07,3.019093545464561e-13
1.8e-07,3.317875348296141e-13
3.2e-07,3.648812124209014e-13
5.6e-07,3.992853829392061e-13
1e-06,4.348693001358433e-13
1.8e-06,4.671506576527263e-13
3.2e-06,4.921366735727888e-13
5.6e-06,5.092646570419159e-13
9.999999999999999e-06,5.211536315315004e-13
1.8e-05,5.293341280584708e-13
3.2e-05,5.352511418348354e-13
5.6e-05,5.399881721616082e-13
9.999999999999999e-05,5.44187439846144e-13
0.00018,5.478026025307831e-13
0.00032,5.507035973331572e-13
0.00056,5.528667359244944e-13
0.001,5.542591724816255e-13
