swapSweep(cgg "ID") (L=1.2e-05) X,swapSweep(cgg "ID") (L=1.2e-05) Y
1e-09,4.664373168942618e-13
1.8e-09,4.722594480046408e-13
3.200000000000001e-09,4.821434186949845e-13
5.6e-09,4.968072073965122e-13
1e-08,5.187462577195407e-13
1.8e-08,5.508041113656663e-13
3.2e-08,5.916017000555892e-13
5.600000000000001e-08,6.42108981184354e-13
1e-07,7.034677603235952e-13
1.8e-07,7.743472220460264e-13
3.2e-07,8.470643543312854e-13
5.6e-07,9.157704047409387e-13
1e-06,9.771659263243497e-13
1.8e-06,1.0238117911289e-12
3.2e-06,1.054217644819517e-12
5.6e-06,1.073174335207448e-12
9.999999999999999e-06,1.086247888418812e-12
1.8e-05,1.095509761640506e-12
3.2e-05,1.101655727000349e-12
5.6e-05,1.104946305115314e-12
9.999999999999999e-05,1.105358875538204e-12
0.00018,1.102332866058274e-12
0.00032,1.095780401250461e-12
0.00056,1.086303812809561e-12
0.001,1.0791560143519e-12
