swapSweep(cgg "ID") (L=3.5e-07) X,swapSweep(cgg "ID") (L=3.5e-07) Y
1e-09,5.285312450885942e-16
1.8e-09,5.301841431227567e-16
3.200000000000001e-09,5.339980194394093e-16
5.6e-09,5.409474718484437e-16
1e-08,5.53037799321117e-16
1.8e-08,5.721330882048605e-16
3.2e-08,5.989148106988882e-16
5.600000000000001e-08,6.332373729829846e-16
1e-07,6.768460558823876e-16
1.8e-07,7.271367108683977e-16
3.2e-07,7.792911593586996e-16
5.6e-07,8.286333448146006e-16
1e-06,8.740547416830677e-16
1.8e-06,9.105021445321748e-16
3.2e-06,9.359169546696667e-16
5.6e-06,9.52469241561293e-16
9.999999999999999e-06,9.639990291225726e-16
1.8e-05,9.72242423140276e-16
3.2e-05,9.77955255292744e-16
5.6e-05,9.813608069342022e-16
9.999999999999999e-05,9.823472082141213e-16
0.00018,9.801022594240606e-16
0.00032,9.740044850692474e-16
0.00056,9.641911087012882e-16
0.001,9.604155927139191e-16
