swapSweep(cgg "ID") (L=4e-06) X,swapSweep(cgg "ID") (L=4e-06) Y
1e-09,5.307018496369761e-14
1.8e-09,5.368828215083381e-14
3.200000000000001e-09,5.471550699594041e-14
5.6e-09,5.627287595643664e-14
1e-08,5.866070542212967e-14
1.8e-08,6.206010049506859e-14
3.2e-08,6.650404796393136e-14
5.600000000000001e-08,7.190902776057507e-14
1e-07,7.857756313312735e-14
1.8e-07,8.621050420807927e-14
3.2e-07,9.412974657106276e-14
5.6e-07,1.016334789165106e-13
1e-06,1.084167089473604e-13
1.8e-06,1.136340323549708e-13
3.2e-06,1.170661224718782e-13
5.6e-06,1.192103452878927e-13
9.999999999999999e-06,1.20684124273861e-13
1.8e-05,1.217265706985167e-13
3.2e-05,1.224228382612923e-13
5.6e-05,1.228044076749231e-13
9.999999999999999e-05,1.22870230798436e-13
0.00018,1.225566851214575e-13
0.00032,1.218489282750252e-13
0.00056,1.208053239330047e-13
0.001,1.198404801378327e-13
