swapSweep(cgg "ID") (L=5e-07) X,swapSweep(cgg "ID") (L=5e-07) Y
1e-09,9.622273074019509e-16
1.8e-09,9.665062153381242e-16
3.200000000000001e-09,9.75594552233045e-16
5.6e-09,9.914243136113175e-16
1e-08,1.018182472694073e-15
1.8e-08,1.059053541900987e-15
3.2e-08,1.115336112202822e-15
5.600000000000001e-08,1.186575946214297e-15
1e-07,1.276905719112375e-15
1.8e-07,1.382114476039739e-15
3.2e-07,1.494169696758736e-15
5.6e-07,1.603974564278094e-15
1e-06,1.708665708290048e-15
1.8e-06,1.794315685697164e-15
3.2e-06,1.853568351670696e-15
5.6e-06,1.891122308378563e-15
9.999999999999999e-06,1.91648312780524e-15
1.8e-05,1.934217358450309e-15
3.2e-05,1.946432371589828e-15
5.6e-05,1.953824882544625e-15
9.999999999999999e-05,1.956341297891499e-15
0.00018,1.952525956229002e-15
0.00032,1.941291165562914e-15
0.00056,1.922676205863217e-15
0.001,1.909582446320637e-15
