swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1.2e-05) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1.2e-05) Y
1e-09,6.056167416713353e-13
1.8e-09,6.082967589605594e-13
3.2e-09,6.167789903791648e-13
5.6e-09,6.340593385458725e-13
1e-08,6.685601085483945e-13
1.8e-08,7.230832403563976e-13
3.2e-08,8.012616498120904e-13
5.6e-08,9.054732048068139e-13
1e-07,1.039132507795919e-12
1.8e-07,1.190793088195536e-12
3.2e-07,1.350653947036691e-12
5.6e-07,1.509801844363881e-12
1e-06,1.670680415029192e-12
1.8e-06,1.824144425348894e-12
3.2e-06,1.95969406230295e-12
5.6e-06,2.072508857657525e-12
1e-05,2.166067989381707e-12
1.8e-05,2.236551940587719e-12
3.2e-05,2.286352801448403e-12
5.6e-05,2.322906094660808e-12
0.0001,2.352830719832597e-12
0.00018,2.37668373511176e-12
0.00032,2.393187144533852e-12
0.00056,2.401182718464694e-12
0.001,2.39973115388e-12
