swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1.3e-07) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1.3e-07) Y
1e-09,2.184713677699274e-16
1.8e-09,2.182714625523714e-16
3.2e-09,2.180917017812531e-16
5.6e-09,2.179466968190847e-16
1e-08,2.178542729633943e-16
1.8e-08,2.178770954978795e-16
3.2e-08,2.181182485796695e-16
5.6e-08,2.187384477874804e-16
1e-07,2.20106152627073e-16
1.8e-07,2.22796619380898e-16
3.2e-07,2.274569461567109e-16
5.6e-07,2.347841114162328e-16
1e-06,2.461021114790026e-16
1.8e-06,2.617656324453984e-16
3.2e-06,2.806096636614263e-16
5.6e-06,3.002236358228714e-16
1e-05,3.184806449124983e-16
1.8e-05,3.323794741815236e-16
3.2e-05,3.411287505992995e-16
5.6e-05,3.462722941871092e-16
0.0001,3.496951436388219e-16
0.00018,3.519670693250121e-16
0.00032,3.527325449455448e-16
0.00056,3.519524710407093e-16
0.001,3.509360211872806e-16
