swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=2e-07) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=2e-07) Y
1e-09,3.887593256404265e-16
1.8e-09,3.881726748489609e-16
3.2e-09,3.876843757203691e-16
5.6e-09,3.873668997245678e-16
1e-08,3.873568705544194e-16
1.8e-08,3.879814100058883e-16
3.2e-08,3.897551083421764e-16
5.6e-08,3.934785246834359e-16
1e-07,4.008390217700792e-16
1.8e-07,4.141310241788639e-16
3.2e-07,4.352162208810973e-16
5.6e-07,4.653679087359824e-16
1e-06,5.075065391733083e-16
1.8e-06,5.598239288323552e-16
3.2e-06,6.157534192180056e-16
5.6e-06,6.672531779416746e-16
1e-05,7.106152946478704e-16
1.8e-05,7.416844158844549e-16
3.2e-05,7.612849339592898e-16
5.6e-05,7.736549095589348e-16
0.0001,7.826204014508439e-16
0.00018,7.890545714850994e-16
0.00032,7.91966889293447e-16
0.00056,7.89461639736831e-16
0.001,7.837534351783481e-16
