swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=4e-06) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=4e-06) Y
1e-09,7.015963854744114e-14
1.8e-09,7.041898088497487e-14
3.2e-09,7.127072003053607e-14
5.6e-09,7.306098987985683e-14
1e-08,7.648266495688726e-14
1.8e-08,8.227183851479929e-14
3.2e-08,9.080204220495153e-14
5.6e-08,1.020922154884516e-13
1e-07,1.167129902096913e-13
1.8e-07,1.339286628370818e-13
3.2e-07,1.522899363884597e-13
5.6e-07,1.705384044194881e-13
1e-06,1.892389313535139e-13
1.8e-06,2.071274288886487e-13
3.2e-06,2.23017944911528e-13
5.6e-06,2.36255061639195e-13
1e-05,2.471986943520653e-13
1.8e-05,2.55393239386632e-13
3.2e-05,2.611647689599194e-13
5.6e-05,2.653644447692671e-13
0.0001,2.687887170459017e-13
0.00018,2.715156883547075e-13
0.00032,2.733942283948708e-13
0.00056,2.742746715396392e-13
0.001,2.740212069776982e-13
