swapSweep(gmro "ID") (L=1.2e-05) X,swapSweep(gmro "ID") (L=1.2e-05) Y
1e-09,3367.904337427053
1.8e-09,3482.606358197217
3.200000000000001e-09,3588.690880868766
5.6e-09,3690.332050533032
1e-08,3805.996585970369
1.8e-08,3948.743305221828
3.2e-08,4103.592710264436
5.600000000000001e-08,4248.987892714496
1e-07,4341.301005437713
1.8e-07,4321.009440281821
3.2e-07,4161.280525872388
5.6e-07,3889.186856460698
1e-06,3536.62656802146
1.8e-06,3148.777567890054
3.2e-06,2753.169652698814
5.6e-06,2361.906515132004
9.999999999999999e-06,1972.65785476524
1.8e-05,1621.748626173797
3.2e-05,1332.672226853183
5.6e-05,1098.924447717603
9.999999999999999e-05,893.9603902257106
0.00018,707.091914069738
0.00032,513.335176406775
0.00056,234.661077492172
0.001,28.49913022525532
